id,gameweek,home_team,away_team,home_team_code,away_team_code,venue,kickoff_time,home_score,away_score,result,status,created_at
46d07b11-3f4e-40b2-9d99-a6e6cf3c20ba,35,Aston Villa,Spurs,AVL,TOT,,2026-05-03 18:00:00+00,,,,upcoming,2026-04-30 02:52:03.887824+00
3962289e-201d-4384-b9a3-289616c999c3,35,Newcastle,Brighton,NEW,BHA,,2026-05-02 14:00:00+00,,,,upcoming,2026-04-30 02:52:02.375116+00
8306c7a8-331a-4f83-abd5-da5fc9186c5c,35,Chelsea,Nott'm Forest,CHE,NFO,,2026-05-04 14:00:00+00,,,,upcoming,2026-04-30 02:52:04.221577+00
9afdc069-be08-4f10-9bbe-63985a3b39fb,35,Leeds,Burnley,LEE,BUR,,2026-05-01 19:00:00+00,0,2,A,finished,2026-04-30 02:52:01.777092+00
089db3ab-2ce6-4daf-89ef-54db12840ce4,35,Everton,Man City,EVE,MCI,,2026-05-04 19:00:00+00,0,2,A,finished,2026-04-30 02:52:04.528598+00
28e4c818-356e-4a20-876d-918793cbfdfe,35,Brentford,West Ham,BRE,WHU,,2026-05-02 14:00:00+00,,,,upcoming,2026-04-30 02:52:02.081671+00
48bc3a34-8295-4583-9837-2150b5dc39b5,35,Arsenal,Fulham,ARS,FUL,,2026-05-02 16:30:00+00,,,,upcoming,2026-04-30 02:52:03.013292+00
3667f968-0923-4721-aa38-07de7beac392,34,Wolves,Spurs,WOL,TOT,,2026-04-25 14:00:00+00,0,1,A,finished,2026-04-30 02:52:00.902102+00
2a771cbf-9b28-42c3-b306-67697c7364f9,34,West Ham,Everton,WHU,EVE,,2026-04-25 14:00:00+00,2,1,H,finished,2026-04-30 02:52:00.609503+00
8b2a65d8-8178-4b18-8058-93efadd99998,34,Man Utd,Brentford,MUN,BRE,,2026-04-27 19:00:00+00,2,1,H,finished,2026-04-30 02:52:01.463637+00
72adbfec-e061-41b5-9138-a84681460ffb,34,Sunderland,Nott'm Forest,SUN,NFO,,2026-04-24 19:00:00+00,0,5,A,finished,2026-04-30 02:51:59.723029+00
a1b67ef3-61a2-49e7-987d-620988114261,34,Arsenal,Newcastle,ARS,NEW,,2026-04-25 16:30:00+00,1,0,H,finished,2026-04-30 02:52:01.180187+00
02368668-bdbf-4951-accf-83beff58ea94,34,Liverpool,Crystal Palace,LIV,CRY,,2026-04-25 14:00:00+00,3,1,H,finished,2026-04-30 02:52:00.3121+00
a0912d61-1209-4255-a86a-79fef4a48931,34,Fulham,Aston Villa,FUL,AVL,,2026-04-25 11:30:00+00,1,0,H,finished,2026-04-30 02:52:00.025403+00
a86598e0-1486-481e-b16f-754cafd3f13f,33,Brentford,Fulham,BRE,FUL,,2026-04-18 11:30:00+00,0,0,D,finished,2026-04-30 02:51:55.90427+00
b81a251f-84f2-4c30-87c1-cc7e9b7ebe13,33,Leeds,Wolves,LEE,WOL,,2026-04-18 14:00:00+00,3,0,H,finished,2026-04-30 02:51:56.181478+00
6b926c91-5b6c-4926-8e5a-9861f1975e9b,33,Spurs,Brighton,TOT,BHA,,2026-04-18 16:30:00+00,2,2,D,finished,2026-04-30 02:51:56.788428+00
39ed4915-1147-42ac-8558-2d7d61868ac3,33,Man City,Arsenal,MCI,ARS,,2026-04-19 15:30:00+00,2,1,H,finished,2026-04-30 02:51:58.204411+00
1fb7d0fd-340e-426b-b28d-4f27eea7e802,33,Newcastle,Bournemouth,NEW,BOU,,2026-04-18 14:00:00+00,1,2,A,finished,2026-04-30 02:51:56.464176+00
b4af7744-96d3-4068-9857-d692f630db2c,33,Aston Villa,Sunderland,AVL,SUN,,2026-04-19 13:00:00+00,4,3,H,finished,2026-04-30 02:51:57.344354+00
ef3c67c3-dc1e-4e93-b1ec-7c55d1592f6a,33,Brighton,Chelsea,BHA,CHE,,2026-04-21 19:00:00+00,3,0,H,finished,2026-04-30 02:51:58.837944+00
e31dfb35-f2e5-4052-9e95-189600f60f94,33,Bournemouth,Leeds,BOU,LEE,,2026-04-22 19:00:00+00,2,2,D,finished,2026-04-30 02:51:59.154135+00
ce23898b-d5e5-4fb8-9c7a-adbefac15060,33,Nott'm Forest,Burnley,NFO,BUR,,2026-04-19 13:00:00+00,4,1,H,finished,2026-04-30 02:51:57.915865+00
